Date,Receipt number,Receipt type,Gross sales,Discounts,Net sales,Taxes,Total collected,Cost of goods,Gross profit,Payment type,Description,POS,Store,Cashier name,Status
10/05/2025 19:07,1-1000,Sale,111.92,2.83,109.09,0.0,109.09,0.0,109.09,Cash,"1 x Product 3, 2 x Product 2, 1 x Product 2",POS 1,Quenkos,C1,Closed
10/05/2025 19:44,1-1001,Sale,379.26,2.95,376.31,0.0,376.31,0.0,376.31,Card,"1 x Product 5, 1 x Product 3",POS 1,Quenkos,C3,Closed
10/05/2025 10:05,1-1002,Sale,131.52,4.13,127.39,0.0,127.39,0.0,127.39,Card,"2 x Product 9, 1 x Product 7, 2 x Product 9",POS 1,Quenkos,C2,Closed
10/05/2025 18:12,1-1003,Sale,494.09,21.41,472.68,0.0,472.68,0.0,472.68,Card,2 x Product 7,POS 1,Quenkos,C4,Closed
10/05/2025 19:53,1-1004,Sale,165.36,8.18,157.18,0.0,157.18,0.0,157.18,Cash,"1 x Product 4, 1 x Product 7, 1 x Product 8",POS 1,Quenkos,C2,Closed
10/05/2025 19:20,1-1005,Sale,422.02,1.4,420.62,0.0,420.62,0.0,420.62,Card,1 x Product 3,POS 1,Quenkos,C4,Closed
10/05/2025 12:41,1-1006,Sale,498.93,12.31,486.62,0.0,486.62,0.0,486.62,Cash,"2 x Product 2, 2 x Product 2, 2 x Product 8, 1 x Product 6",POS 1,Quenkos,C2,Closed
10/05/2025 11:40,1-1007,Sale,407.44,5.98,401.46,0.0,401.46,0.0,401.46,Cash,"2 x Product 6, 1 x Product 4, 1 x Product 6, 2 x Product 5",POS 1,Quenkos,C1,Closed
10/05/2025 13:32,1-1008,Sale,436.67,4.34,432.33,0.0,432.33,0.0,432.33,Cash,2 x Product 9,POS 1,Quenkos,C4,Closed
10/05/2025 17:49,1-1009,Sale,107.79,4.74,103.05,0.0,103.05,0.0,103.05,Card,2 x Product 6,POS 1,Quenkos,Owner,Closed
10/05/2025 12:03,1-1010,Sale,426.41,11.36,415.05,0.0,415.05,0.0,415.05,Card,2 x Product 1,POS 1,Quenkos,C1,Closed
10/05/2025 17:10,1-1011,Sale,459.85,5.7,454.15,0.0,454.15,0.0,454.15,Cash,"2 x Product 10, 2 x Product 10, 2 x Product 8, 2 x Product 7",POS 1,Quenkos,C2,Closed
10/05/2025 18:35,1-1012,Sale,126.96,33.78,93.18,0.0,93.18,0.0,93.18,Card,"1 x Product 1, 1 x Product 8",POS 1,Quenkos,C1,Closed
10/05/2025 19:31,1-1013,Sale,413.85,3.94,409.91,0.0,409.91,0.0,409.91,Card,"2 x Product 8, 1 x Product 9",POS 1,Quenkos,C1,Closed
10/05/2025 14:27,1-1014,Sale,124.25,4.97,119.28,0.0,119.28,0.0,119.28,Cash,1 x Product 7,POS 1,Quenkos,C2,Closed
10/05/2025 12:34,1-1015,Sale,470.55,3.91,466.64,0.0,466.64,0.0,466.64,Cash,"1 x Product 2, 1 x Product 5, 1 x Product 9, 1 x Product 1",POS 1,Quenkos,C2,Closed
10/05/2025 15:57,1-1016,Sale,175.96,0.51,175.45,0.0,175.45,0.0,175.45,Cash,"2 x Product 1, 2 x Product 4, 2 x Product 10, 1 x Product 8",POS 1,Quenkos,C1,Closed
10/05/2025 14:03,1-1017,Sale,370.09,2.22,367.87,0.0,367.87,0.0,367.87,Cash,"1 x Product 6, 1 x Product 9, 1 x Product 2, 1 x Product 10",POS 1,Quenkos,C1,Closed
10/05/2025 18:38,1-1018,Sale,473.88,16.97,456.91,0.0,456.91,0.0,456.91,Card,2 x Product 5,POS 1,Quenkos,C1,Closed
10/05/2025 11:42,1-1019,Sale,152.98,0.53,152.45,0.0,152.45,0.0,152.45,Card,"1 x Product 4, 1 x Product 8, 1 x Product 1, 2 x Product 5",POS 1,Quenkos,C3,Closed
10/05/2025 11:28,1-1020,Sale,475.57,2.74,472.83,0.0,472.83,0.0,472.83,Cash,"1 x Product 7, 2 x Product 10, 1 x Product 7",POS 1,Quenkos,C4,Closed
10/05/2025 13:18,1-1021,Sale,136.92,1.89,135.03,0.0,135.03,0.0,135.03,Cash,"2 x Product 3, 2 x Product 7, 1 x Product 3",POS 1,Quenkos,C3,Closed
10/05/2025 19:16,1-1022,Sale,271.91,74.21,197.7,0.0,197.7,0.0,197.7,Cash,"1 x Product 6, 1 x Product 5, 2 x Product 1, 1 x Product 1",POS 1,Quenkos,C1,Closed
10/05/2025 14:13,1-1023,Sale,489.53,22.66,466.87,0.0,466.87,0.0,466.87,Cash,2 x Product 4,POS 1,Quenkos,C3,Closed
10/05/2025 11:56,1-1024,Sale,206.72,1.12,205.6,0.0,205.6,0.0,205.6,Card,"2 x Product 8, 1 x Product 4",POS 1,Quenkos,C2,Closed
10/05/2025 12:12,1-1025,Sale,445.74,6.22,439.52,0.0,439.52,0.0,439.52,Card,"1 x Product 4, 2 x Product 9, 2 x Product 9, 2 x Product 3",POS 1,Quenkos,C4,Closed
